½»Ò×ÈÕÆÚ,ºÏÔ¼ÏµÁĞ,³É½»Á¿,³Ö²ÖÁ¿,³Ö²ÖÁ¿±ä»¯,³É½»¶î,ĞĞÈ¨Á¿,Òşº¬²¨¶¯ÂÊ,Òşº¬²¨¶¯ÂÊ(%)
2024/9/4,ru2410,3555,5743,2,260.572,0,0.212265,21.2265
2024/9/4,ru2411,80,262,35,7.278,0,0.194199,19.4199
2024/9/4,ru2501,23402,36810,112,7416.185,0,0.196756,19.6756
2024/9/4,ru2505,86,412,4,61.637,0,0.190267,19.0267
2024/9/4,Ğ¡¼Æ,27123,43227,153,7745.672,0,,
2024/9/5,ru2410,3361,6180,437,288.504,0,0.214608,21.4608
2024/9/5,ru2411,42,272,10,2.116,0,0.188317,18.8317
2024/9/5,ru2501,20972,37455,645,6913.519,0,0.198002,19.8002
2024/9/5,ru2505,114,464,52,91.842,0,0.184636,18.4636
2024/9/5,Ğ¡¼Æ,24489,44371,1144,7295.981,0,,
2024/9/6,ru2410,4790,6736,556,355.777,0,0.228793,22.8793
2024/9/6,ru2411,73,295,23,7.978,0,0.215797,21.5797
2024/9/6,ru2501,25258,38686,1231,8239.875,0,0.202684,20.2684
2024/9/6,ru2505,272,545,81,167.556,0,0.200116,20.0116
2024/9/6,Ğ¡¼Æ,30393,46262,1891,8771.186,0,,
2024/9/9,ru2410,21302,10257,3521,2040.753,0,0.283767,28.3767
2024/9/9,ru2411,360,422,127,73.458,0,0.210146,21.0146
2024/9/9,ru2501,55814,40669,1983,21136.212,2,0.2094,20.94
2024/9/9,ru2505,358,735,190,350.581,0,0.199693,19.9693
2024/9/9,Ğ¡¼Æ,77834,52083,5821,23601.004,2,,
2024/9/10,ru2410,15705,11222,965,1477.893,0,0.271429,27.1429
2024/9/10,ru2411,162,518,96,32.515,0,0.232659,23.2659
2024/9/10,ru2501,46694,40332,-337,20969.105,0,0.222338,22.2338
2024/9/10,ru2505,119,790,55,81.857,0,0.204688,20.4688
2024/9/10,Ğ¡¼Æ,62680,52862,779,22561.37,0,,
2024/9/11,ru2410,13846,12843,1621,1008.717,0,0.259151,25.9151
2024/9/11,ru2411,139,549,31,21.822,0,0.236598,23.6598
2024/9/11,ru2501,40049,41195,863,16413.922,0,0.2175,21.75
2024/9/11,ru2505,427,952,162,354.306,0,0.201133,20.1133
2024/9/11,Ğ¡¼Æ,54461,55539,2677,17798.767,0,,
2024/9/12,ru2410,24662,14739,1896,1599.74,0,0.248245,24.8245
2024/9/12,ru2411,93,580,31,26.099,0,0.234537,23.4537
2024/9/12,ru2501,40684,41647,452,17320.607,0,0.223703,22.3703
2024/9/12,ru2505,321,1049,97,215.064,0,0.20109,20.109
2024/9/12,Ğ¡¼Æ,65760,58015,2476,19161.51,0,,
2024/9/13,ru2410,23320,15225,486,1702.749,0,0.249249,24.9249
2024/9/13,ru2411,170,644,64,32.392,0,0.231716,23.1716
2024/9/13,ru2501,29666,41514,-133,13157.917,0,0.228226,22.8226
2024/9/13,ru2505,711,1333,284,525.9,0,0.207897,20.7897
2024/9/13,Ğ¡¼Æ,53867,58716,701,15418.958,0,,
2024/9/18,ru2410,41450,18917,3692,4565.731,4,0.29058,29.058
2024/9/18,ru2411,360,703,59,129.803,0,0.244359,24.4359
2024/9/18,ru2501,48016,41920,406,25939.049,0,0.236095,23.6095
2024/9/18,ru2505,848,1669,336,729.951,1,0.214769,21.4769
2024/9/18,Ğ¡¼Æ,90674,63209,4493,31364.534,5,,
2024/9/19,ru2410,32472,19244,327,3169.136,6,0.263727,26.3727
2024/9/19,ru2411,500,850,147,143.224,0,0.251638,25.1638
